user_plan_id,plan_id,user_id,plan_name,plan_duration,buy_date_ist,start_date_ist,end_date_ist,Final Status,Final start date,Final End date
"380,567",17,"403,541",6M Precision Nutrition,180,"March 13, 2026",16 Mar 26,15 Sep 26,Active,20 Mar 26,16 Sep 26
"310,892",94,"403,562",EN Insight 1799,15,"January 21, 2026",21 Jan 26,27 Jan 26,Trial Plan Expired,21 Jan 26,27 Jan 26
"310,874",94,"403,563",EN Insight 1799,15,21 Jan 26,21 Jan 26,22 Jan 26,Active,21 Jan 26,05 Feb 26
"313,116",300,"403,563","6 Month Precision Nutrition (1799) (1 CGM, 1 BT)",180,"January 22, 2026",28 Jan 26,24 Sep 26,Active,29 Jan 26,28 Jul 26
"310,856",94,"403,564",EN Insight 1799,15,21 Jan 26,21 Jan 26,26 Jan 26,Active,21 Jan 26,05 Feb 26
"317,346",300,"403,564","6 Month Precision Nutrition (1799) (1 CGM, 1 BT)",180,"January 26, 2026",03 Feb 26,01 Aug 26,Active,02 Feb 26,01 Aug 26
"310,857",94,"403,585",EN Insight 1799,15,"January 21, 2026",21 Jan 26,27 Jan 26,Trial Plan Expired,21 Jan 26,27 Jan 26
"310,858",94,"403,606",EN Insight 1799,15,"January 21, 2026",21 Jan 26,27 Jan 26,Trial Plan Expired,21 Jan 26,27 Jan 26
"310,859",94,"403,627",EN Insight 1799,15,21 Jan 26,21 Jan 26,23 Jan 26,Active,21 Jan 26,05 Feb 26
"314,297",300,"403,627","6 Month Precision Nutrition (1799) (1 CGM, 1 BT)",180,"January 23, 2026",28 Jan 26,3 Aug 26,Active,30 Jan 26,29 Jul 26
"310,860",94,"403,648",EN Insight 1799,15,21 Jan 26,21 Jan 26,24 Jan 26,Active,21 Jan 26,05 Feb 26
